AUNumber,InstName,Category,IUNumber,IU,CountyName,StatusDescription,EffectiveDate,PhoneNumber,PhoneNumberExtn,WebAddress,MailingAddressLine1,MailingAddressLine2,MailingCity,MailingState,MailingZipCode,MailingZipCodeExtn,LocationAddressLine1,LocationAddressLine2,LocationCity,LocationState,LocationZipCode,LocationZipCodeExtn,Title,Salutation,FirstName,MiddleInitial,LastName,Suffix,AdminPhoneNumber,AdminPhoneNumberExtn,CommissionStartDate,CommissionExpirationDate,
204101324,Calvary Academy,"Nonpublic, Non-Licensed School",4,Midwestern IU 4,Butler,Open,10/01/1992,(724)352-4481,,,199 Great Belt Rd,,Butler,PA,16002,9043,199 Great Belt Road,,Butler,PA,16002,,Principal,,Joel,M,Ward,,,,,,
228321505,Calvary Baptist Academy,"Nonpublic, Non-Licensed School",28,ARIN IU 28,Indiana,Open,10/01/1992,(724)254-9411,,,11394 Route 286 Hwy E,,Clymer,PA,15728,7722,11394 Route 286 Hwy E,,Clymer,PA,15728,7722,Principal,Dr,Daryl,S,Jeffers,,,,,,
205201504,Calvary Baptist Chrst Academy,"Nonpublic, Non-Licensed School",5,Northwest Tri-County IU 5,Crawford,Open,10/01/1992,(814)724-6606,,,543 Randolph St,,Meadville,PA,16335,2227,543 Randolph St,,Meadville,PA,16335,2227,Principal,Mr,Daryl,K,Van Norman,,,,,,
203021595,Calvary Baptist Nursery & Kindergarten,"Nonpublic, Non-Licensed School",3,Allegheny IU 3,Allegheny,Open,10/01/1992,(412)461-6211,,,120 Anborn Dr,,West Mifflin,PA,15122,0000,120 Anborn Dr,,West Mifflin,PA,15122,0000,Principal,,unknown,,unknown,,,,,,
223460752,Calvary Baptist School,"Nonpublic, Non-Licensed School",23,Montgomery County IU 23,Montgomery,Open,10/01/1992,(215)368-1100,,,1380 S. Valley Forge Road,,Lansdale,PA,19446,,1380 S. Valley Forge Road,,Lansdale,PA,19446,,Principal,Mr,Randall,C,Thaxton,,,,,,
201633600,Calvary Chapel Christian Schl,"Nonpublic, Non-Licensed School",1,Intermediate Unit 1,Washington,Open,10/01/2000,(724)377-2523,,,PO Box 19,,Fredericktown,PA,15333,0019,103 Moose Hill Road,,Fredericktown,PA,15333,,Principal,Mrs,Rebecca,L,Cannon,,,,,,
205624774,Calvary Chapel Christian Schoo,"Nonpublic, Non-Licensed School",5,Northwest Tri-County IU 5,Warren,Open,10/01/1992,(814)757-8744,,,8160 Market Street,,Russell,PA,16345,0579,Route 62 North,,Russell,PA,16345,0000,Principal,Rev,James,M,Stowe,,,,,,
204430404,Calvary Christian Academy,"Nonpublic, Non-Licensed School",4,Midwestern IU 4,Mercer,Open,10/01/1992,(724)475-4971,,,1033 Perry Hwy,,Mercer,PA,16137,3627,1033 N Perry Hwy,,Mercer,PA,16137,,Principal,,Kristian,,McGee,,,,,,
211311903,Calvary Christian Academy,"Nonpublic, Non-Licensed School",11,Tuscarora IU 11,Huntingdon,Open,10/01/1992,(814)643-4075,102,,300 Standing Stone Ave,,Huntingdon,PA,16652,,300 Standing Stone Ave,,Huntingdon,PA,16652,,Principal,,Donald,B,Kidd,,,,,,
213360792,Calvary Christian Academy,"Nonpublic, Non-Licensed School",13,Lancaster-Lebanon IU 13,Lancaster,Open,10/01/1992,(717)786-1989,,,1225 Robert Fulton Hwy,,Quarryville,PA,17566,9628,1225 Robert Fulton Hwy,,Quarryville,PA,17566,9628,Principal,Mrs,Kerry,,Beedle,,,,,,
226510732,Calvary Christian Academy,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,10/01/1995,(215)969-1579,,,13500 Philmont Ave,,Philadelphia,PA,19116,1118,13500 Philmont Ave,,Philadelphia,PA,19116,1118,Principal,Mr,CHRIS,,SPITTAL,,,,,,
207651165,Calvary Christian Sch-Kdg,"Nonpublic, Non-Licensed School",7,Westmoreland IU 7,Westmoreland,Open,10/01/1992,(724)863-3086,21,,8653 Pennsylvania Ave,,Irwin,PA,15642,2720,8653 Pennsylvania Ave,,Irwin,PA,15642,2720,Principal,Mrs,Pamela,R,Yurcisin,,,,,,
300090645,Calvary Christian School,"Licensed, Private Academic School",22,Bucks County IU 22,Bucks,Open,10/01/1996,(215)736-2391,,,676 Lincoln Highway,,Fairless Hills,PA,19030,,676 Lincoln Highway,,Fairless Hills,PA,19030,,Director,Ms,Robin,R,Laskey,,(215)943-7039,,,,
300101050,Calvary Day Care Center,Miscellaneous,4,Midwestern IU 4,Butler,Open,04/22/1999,(724)283-9740,,,650 SAXONBURG ROAD,,Butler,PA,16002,5905,650 SAXONBURG ROAD,,Butler,PA,16002,5905,Director,Ms,KALEENA,,LAUER,,,,,,
207651185,Calvary Early Learning Center,"Nonpublic, Non-Licensed School",7,Westmoreland IU 7,Westmoreland,Open,09/01/2007,(724)327-2898,,,4725 Old William Penn Highway,,Murrysville,PA,15668,2012,4725 Old William Penn Highway,,Murrysville,PA,15668,2012,Principal,,Laura,R,Hoff,,,,,,
333360612,CALVARY FULL GOSPEL CHURCH OF BRIDGEVILLE,Miscellaneous,,,Allegheny,Open,02/12/2008,(412)220-7197,,,538 Hickory Grade Road,,Bridgeville,PA,15017,1026,538 Hickory Grade Road,,Bridgeville,PA,15017,1026,Chief Administrative Officer,Ms,REBECCA,,LEWIS,,,,,,
216600002,Calvary Holiness Academy,"Nonpublic, Non-Licensed School",16,Central Susquehanna IU 16,Union,Open,08/31/2012,(570)922-1470,,,930 Orchard Road,,Millmont,PA,17845,,930 Orchard Road,,Millmont,PA,17845,,Principal,,Jeffrey,A,West,,,,,,
212280006,Calvary Mennonite School,"Nonpublic, Non-Licensed School",12,Lincoln IU 12,Franklin,Open,09/01/2007,(717)926-6805,,,559 Overcash Road,,Chambersburg,PA,17202,,559 Overcash Road,,Chambersburg,PA,17202,,Principal,,Victor,,Ebersole,,,,,,
325230006,Calvary Presbyterian Church,Miscellaneous,25,Delaware County IU 25,Delaware,Open,05/16/2003,(610)789-6544,,,7766 Wayne Ave,,Upper Darby,PA,19082,,7766 Wayne Ave,,Upper Darby,PA,19082,,,,,,,,,,,,
226510722,Calvary Temple Christian Academy,"Nonpublic, Non-Licensed School",26,Philadelphia IU 26,Philadelphia,Open,10/01/1992,(215)462-2822,,,3301 S 20th St,,Philadelphia,PA,19145,5810,3301 S 20th St,,Philadelphia,PA,19145,5810,Principal,Dr,Virginia,,Voight,,,,,,
376397692,CALVARY TEMPLE OF ALLENTOWN DBA WINCHESTER ROAD DAY CENTER,Miscellaneous,,,Lehigh,Open,06/23/2008,(610)841-7988,,,3436 WINCHESTER ROAD,,ALLENTOWN,PA,18104,,3436 WINCHESTER ROAD,,ALLENTOWN,PA,18104,,Director,Ms,KATIE,,DANNER,,,,,,
300591030,Calvary United Methodist Ch,Miscellaneous,17,BLaST IU 17,Tioga,Open,09/30/1998,(570)827-2556,,,P O Box 257,,Lawrenceville,PA,16929,0527,6 FRANKLIN ST,,LAWRENCEVILLE,PA,16929,,Director,Ms,Sonia, ,Brott,,,,,,
388229601,CALVARY UNITED METHODIST CHURCH DBA CALVARY KIDS CHILDCARE,Miscellaneous,,,Dauphin,Open,01/26/2010,(717)545-7886,,,4700 LOCUST LANE,,HARRISBURG,PA,17109,4515,4700 LOCUST LANE,,HARRISBURG,PA,17109,4515,Director,Ms,CATHY,,MORRIS,,(717)545-7886,,,,
300060011,CALVARY UNITED METHODIST CHURCH MOHNTON AM/PM INC DBA CALVAR,Miscellaneous,,,Berks,Open,10/13/2006,,,,1 WEST WYOMISSING AVENUE,,MOHNTON,PA,19540,,1 WEST WYOMISSING AVENUE,,MOHNTON,PA,19540,,,,,,,,,,,,
300111110,Cambria Cnty Juv Det Ctr,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Cambria,Open,09/16/1994,(814)472-8206,,,Loretto Road,PO Box 284,Ebensburg,PA,15931,0284,Loretto Road,PO Box 284,Ebensburg,PA,15931,0284,,,,,,,,,,,
500110001,Cambria Co,Miscellaneous,,,Cambria,Open,04/26/1991,,,,Courthouse,,Ebensburg,PA,15931,,Courthouse,,Ebensburg,PA,15931,,,,,,,,,,,,
300111100,Cambria Co Child Dev,Miscellaneous,8,Appalachia IU 8,Cambria,Open,07/06/1990,,,,220 W Sample St,,Ebensburg,PA,15931,1545,220 W Sample St,,Ebensburg,PA,15931,1545,,,,,,,,,,,
300111080,Cambria Co Child Dev Corp,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Cambria,Open,07/06/1990,(814)472-6341,,,300 Prave Street,Suite 101,Ebensburg,PA,15931,,300 Prave Street,Suite 101,Ebensburg,PA,15931,,Executive Director,Mr,Roinald,,Kikta,,(814)472-6341,,,,
300111120,Cambria Co Literacy Council,Miscellaneous,8,Appalachia IU 8,Cambria,Open,09/20/1993,(814)255-2639,,,2112 Menoher Blvd,,Johnstown,PA,15905,1625,2112 Menoher Blvd,,Johnstown,PA,15905,1625,,,,,,,,,,,
208115905,Cambria County Christian Sch,"Nonpublic, Non-Licensed School",8,Appalachia IU 8,Cambria,Open,10/01/1992,(814)749-7406,,,561 Pike Rd,,Johnstown,PA,15909,4209,561 Pike Rd,,Johnstown,PA,15909,4209,Principal,,Andrew,,Williams,,,,,,
372117663,Cambria County Conservation District,Act 48 Independent Provider,,,Cambria,Open,02/27/2008,(814)472-2120,,,401 Candlelight Drive,Suite 221,Ebensburg,PA,15931,,401 Candlelight Drive,Suite 221,Ebensburg,PA,15931,,,,,,,,,,,,
308010099,Cambria County Drug and Alcohol Program,Act 48 Independent Provider,,,Adams,Open,04/27/2005,,,,"Central Park Complex  110 Franklin Street, Suite 2",,Johnstown,PA,15901,1831,"Central Park Complex  110 Franklin Street, Suite 2",,Johnstown,PA,15901,1831,,,,,,,,,,,
908111627,Cambria County Free Law Library,Library,,,Cambria,Open,01/16/2004,(814)472-1501,,,Court House,200 South Center St,Ebensburg,PA,15931,,Court House,200 South Center St,Ebensburg,PA,15931,,,,,,,,,,,,
908111628,Cambria County Historical Society ,Library,,,Cambria,Open,04/30/2004,(814)472-6674,,,615 N Center St ,,Ebensburg ,PA,15931,1122,615 N Center St ,,Ebensburg ,PA,15931,1122,,,,,,,,,,,
908111022,Cambria County Library System,Library,,,Cambria,Open,11/13/2000,(814)536-5131,,http://www.ns.cclib.lib.pa.us,248 Main St,,Johnstown,PA,15901,1677,248 Main St,,Johnstown,PA,15901,1677,Director,,Lyn, ,Meek,,(814)536-5131,,,,
108111203,Cambria Heights SD,School District,8,Appalachia IU 8,Cambria,Open,09/22/1999,(814)674-3626,,http://www.chsd1.org,426 Glendale Lake Rd,PO Box 66,Patton,PA,16668,0066,426 Glendale Lake Rd,PO Box 66,Patton,PA,16668,0066,Business Manager,Mr,James,P,Sheehan,,(814)674-3626,4003,,,
108111203,Cambria Heights SD,School District,8,Appalachia IU 8,Cambria,Open,09/22/1999,(814)674-3626,,http://www.chsd1.org,426 Glendale Lake Rd,PO Box 66,Patton,PA,16668,0066,426 Glendale Lake Rd,PO Box 66,Patton,PA,16668,0066,Superintendent,Mr,Michael,C,Strasser,,(814)674-3626,,07/01/2014,06/30/2019,
428321239,Cambria-Rowe Business College/Indiana,Private Licensed School,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Mr,Jeffrey   ,L,Allen           ,,,,,,
428321239,Cambria-Rowe Business College/Indiana,Private Licensed School,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Mr,Jonathan,,Wolf,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Private Licensed School,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Amanda ,,Artim,,,,,,
428321239,Cambria-Rowe Business College/Indiana,Private Licensed School,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Amy ,,Beitel,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Private Licensed School,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Melissa,,Hill,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Private Licensed School,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Robin,,Gromley,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Private Licensed School,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Tricia ,,Gatskie,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Specialized Associate Degree-Granting,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Mr,Jeffrey   ,L,Allen           ,,,,,,
428321239,Cambria-Rowe Business College/Indiana,Specialized Associate Degree-Granting,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Mr,Jonathan,,Wolf,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Specialized Associate Degree-Granting,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Amanda ,,Artim,,,,,,
428321239,Cambria-Rowe Business College/Indiana,Specialized Associate Degree-Granting,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Amy ,,Beitel,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Specialized Associate Degree-Granting,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Melissa,,Hill,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Specialized Associate Degree-Granting,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Robin,,Gromley,,(724)463-0222,,,,
428321239,Cambria-Rowe Business College/Indiana,Specialized Associate Degree-Granting,,,Indiana,Open,05/27/1992,(724)463-0222,,http://www.crbc.net,422 South 13th Street,,Indiana,PA,15701,,422 South 13th Street,,Indiana,PA,15701,,Chief Executive Officer,Ms,Tricia ,,Gatskie,,(724)463-0222,,,,
408110307,Cambria-Rowe Business College/Johnstown,Private Licensed School,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Mr,Jeff ,,Allen,,,,,,
408110307,Cambria-Rowe Business College/Johnstown,Private Licensed School,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Mr,Jonathan,,Wolf,,(814)563-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Private Licensed School,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Amanda,,Artim,,,,,,
408110307,Cambria-Rowe Business College/Johnstown,Private Licensed School,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Amy ,,Horwath,,(814)536-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Private Licensed School,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Christi,,Sivec,,(814)536-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Private Licensed School,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Jennifer ,,Carney,,(814)536-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Private Licensed School,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Kimberly,,Washington,,(814)563-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Specialized Associate Degree-Granting,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Mr,Jeff ,,Allen,,,,,,
408110307,Cambria-Rowe Business College/Johnstown,Specialized Associate Degree-Granting,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Mr,Jonathan,,Wolf,,(814)563-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Specialized Associate Degree-Granting,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Amanda,,Artim,,,,,,
408110307,Cambria-Rowe Business College/Johnstown,Specialized Associate Degree-Granting,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Amy ,,Horwath,,(814)536-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Specialized Associate Degree-Granting,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Christi,,Sivec,,(814)536-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Specialized Associate Degree-Granting,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Jennifer ,,Carney,,(814)536-5168,,,,
408110307,Cambria-Rowe Business College/Johnstown,Specialized Associate Degree-Granting,,,Cambria,Open,07/01/1986,(814)536-5168,,http://www.crbc.net,221 Central Avenue,,Johnstown,PA,15902,,221 Central Avenue,,Johnstown,PA,15902,,Chief Executive Officer,Ms,Kimberly,,Washington,,(814)563-5168,,,,
308330099,"Cambria-Somerset Council for Education of Health Prof., Inc.",Act 48 Independent Provider,,,Cambria,Open,05/13/2006,(814)269-2939,,http://www.cscouncil.com,"450 Schoolhouse Road- Biddle Hall, Univ. of Pitts.",,Johnstown,PA,15904,2990,"450 Schoolhouse Road- Biddle Hall, Univ. of Pitts.",,Johnstown,PA,15904,2990,,,,,,,,,,,
300111320,Cambrian Hills,Miscellaneous,8,Appalachia IU 8,Cambria,Open,09/18/1997,,,,118 Ebony Rd # 37,,Ebensburg,PA,15931,3811,118 Ebony Rd # 37,,Ebensburg,PA,15931,3811,,,,,,,,,,,
320480004,Cambridge Day School,"Licensed, Private Academic School",20,Colonial IU 20,Northampton,Open,06/17/2003,(610)868-4665,,,3986 Township Line Road,,Bethlehem,PA,18020,,3986 Township Line Rd,,Bethlehem,PA,18020,,Director,Ms,Kaeleigh,,Cope,,(610)703-6258,,,,
320480007,Cambridge Day School,"Licensed, Private Academic School",20,Colonial IU 20,Northampton,Open,06/18/2004,(610)868-3220,,,2201 Emrick Boulevard,,Bethlehem,PA,18020,9752,2201 Emrick Blvd,,Bethlehem,PA,18020,,Director,Ms,Debra,L,Silliman,,(610)419-3439,,,,
321390005,Cambridge Day School,"Licensed, Private Academic School",21,Carbon-Lehigh IU 21,Lehigh,Open,10/27/2003,(610)398-0177,,,6673 Stein Way,,Macungie,PA,18104,,6673 Stein Way,,Macungie,PA,18104,,Director,,School,,Administrator,,(610)398-0177,,,,
323460092,Cambridge Day Schools,"Licensed, Private Academic School",23,Montgomery County IU 23,Montgomery,Open,06/20/2008,(610)642-4871,,,129 Argyle Rd,,Ardmore,PA,19003,,129 Argyle Rd,,Ardmore,PA,19003,,Director,Ms,Bonnie,J,Nessler,,(267)343-5860,,,,
213360782,Cambridge Parochial School,"Nonpublic, Non-Licensed School",13,Lancaster-Lebanon IU 13,Lancaster,Open,10/01/1992,,,,2830 Cambridge Rd,,Honey Brook,PA,19344,,6173 Meadville Rd,,Narvon,PA,17555,0000,Principal,,Benuel,,Riehl,,,,,,
905200153,Cambridge Springs Pub Library,Library,,,Crawford,Open,11/09/2000,(814)398-2123,,http://www.ccfls.org/cambridge,158 McClellan St,,Cambridge Springs,PA,16403,1018,158 McClellan St,,Cambridge Springs,PA,16403,1018,Director,,Amanda, ,Scott,,(814)398-2123,,,,
300006562,Camden County College (Non-credit),Act 48 Independent Provider,,,Out-of-State,Open,06/10/2005,(856)227-7200,,http://www.camdencc.edu,"P.O. Box 200, College Drive",,Blackwood,NJ,08012,,"P.O. Box 200, College Drive",,Blackwood,NJ,08012,,,,,,,,,,,,
300090650,Cameo Driving School ,Private Driver Training School,22,Bucks County IU 22,Bucks,Open,07/06/1990,(215)757-2038,,,6421 Thomas Paine CT,,Bensalem,PA,19020,1923,6421 Thomas Paine CT,,Bensalem,PA,19020,1923,Director,,Herbert,P,Roth,,(215)757-2038,,,,
109122703,Cameron County SD,School District,9,Seneca Highlands IU 9,Cameron,Open,06/08/1999,(814)486-4000,,http://www.camcosd.org/,601 Woodland Ave,,Emporium,PA,15834,1043,601 Woodland Ave,,Emporium,PA,15834,1043,Assistant Superintendent,Mr,R Lynn,,Hummel,Jr,,,06/23/2011,06/23/2016,
109122703,Cameron County SD,School District,9,Seneca Highlands IU 9,Cameron,Open,06/08/1999,(814)486-4000,,http://www.camcosd.org/,601 Woodland Ave,,Emporium,PA,15834,1043,601 Woodland Ave,,Emporium,PA,15834,1043,Business Manager,Mr,Carl,E,Mitchell,,(814)486-4000,3840,,,
109122703,Cameron County SD,School District,9,Seneca Highlands IU 9,Cameron,Open,06/08/1999,(814)486-4000,,http://www.camcosd.org/,601 Woodland Ave,,Emporium,PA,15834,1043,601 Woodland Ave,,Emporium,PA,15834,1043,Superintendent,Mrs,Christine,L,Holjencin,,(814)486-4000,,07/01/2013,06/30/2016,
300569100,Camp Allegheny,"Other Private, Non-Licensed Entity",8,Appalachia IU 8,Somerset,Open,07/06/1990,(814)754-5122,,,100 Camp Allegheny Dr,,Stoystown,PA,15563,,100 Camp Allegheny Dr,,Stoystown,PA,15563,,,,,,,,,,,,
300261400,Camp Christian Inc,"Other Private, Non-Licensed Entity",1,Intermediate Unit 1,Fayette,Open,07/06/1990,(724)455-2700,,,PO Box 230,,Mill Run,PA,15464,0230,PO Box 230,,Mill Run,PA,15464,0230,,,,,,,,,,,
300150570,Camp Council Inc,Miscellaneous,24,Chester County IU 24,Chester,Open,07/06/1990,,,,211 Meetinghouse Rd,,Jenkintown,PA,19046,2906,211 Meetinghouse Rd,,Jenkintown,PA,19046,2906,,,,,,,,,,,
300221000,Camp Curtin Branch YMCA,"Other Private, Non-Licensed Entity",15,Capital Area IU 15,Dauphin,Open,07/06/1990,,,,6th and Woodbine Sts,,Harrisburg,PA,17110,,6th and Woodbine Sts,,Harrisburg,PA,17110,,,,,,,,,,,,
338649232,Camp Degel Hatorah Inc,Miscellaneous,,,Wayne,Open,06/11/2013,(732)668-7152,,,122 Skycrest Road,,Hawley,PA,18428,3019,122 Skycrest Road,,Hawley,PA,18428,3019,Director,Mr,Joseph,,Deutsch,,(732)668-7152,,,,
300510003,Camp Discovery - Mt Carmel Human Dev Corp,Miscellaneous,,,Philadelphia,Open,05/02/2001,(215)476-2508,,,5732-36 Race Street,,Philadelphia,PA,19439,,5732-36 Race Street,,Philadelphia,PA,19439,,,,,,,,,,,,
300450730,Camp Dora Golding,"Other Private, Non-Licensed Entity",20,Colonial IU 20,Monroe,Open,07/06/1990,,,,5515 New Utrecht Ave,,Brooklyn,NY,11219,,5515 New Utrecht Ave,,Brooklyn,NY,11219,,,,,,,,,,,,
324150013,Camp Dreamcatcher,Miscellaneous,24,Chester County IU 24,Chester,Open,03/31/2003,(610)925-2998,,,617 W. South Street,,Kennett Square,PA,19348,,617 W. South Street,,Kennett Square,PA,19348,,,,,,,,,,,,
300012550,Camp Eder,"Other Private, Non-Licensed Entity",12,Lincoln IU 12,Adams,Open,07/09/1992,,,,914 Mount Hope Rd,,Fairfield,PA,17320,9428,914 Mount Hope Rd,,Fairfield,PA,17320,9428,,,,,,,,,,,
378511036,Camp Endeavor,Miscellaneous,,,Philadelphia,Open,04/29/2015,(484)522-1767,,,909 North 19th Street,,Philadelphia,PA,19130,1504,909 North 19th Street,,Philadelphia,PA,19130,1504,Director,Ms,Adrian,,Fields,,(484)522-1767,,,,
300512070,Camp Firefly Am Diab Assoc,Miscellaneous,26,Philadelphia IU 26,Philadelphia,Open,07/06/1990,,,,919 Walnut St,,Philadelphia,PA,19107,5237,919 Walnut St,,Philadelphia,PA,19107,5237,,,,,,,,,,,
300230001,Camp Garrett,"Other Private, Non-Licensed Entity",,,Delaware,Open,02/26/2001,(610)353-7690,,,395 Bishop Hollow Road,,Newtown Square,PA,19073,,395 Bishop Hollow Road,,Newtown Square,PA,19073,,,,,,,,,,,,
300563000,Camp Harmony Inc,Miscellaneous,8,Appalachia IU 8,Somerset,Open,07/06/1990,(814)798-5885,,,1414 Plank Rd,,Hooversville,PA,15936,9801,1414 Plank Rd,,Hooversville,PA,15936,9801,Director,Mr,Neal,D,Hanvey,,,,,,
300221380,Camp Hebron Inc,"Other Private, Non-Licensed Entity",15,Capital Area IU 15,Dauphin,Open,07/06/1990,(717)896-3441,,,957 Camp Hebron Rd,,Halifax,PA,17032,9522,957 Camp Hebron Rd,,Halifax,PA,17032,9522,,,,,,,,,,,
115211003,Camp Hill SD,School District,15,Capital Area IU 15,Cumberland,Open,08/01/2000,(717)901-2400,,http://www.camphillsd.k12.pa.us/,2627 Chestnut St,,Camp Hill,PA,17011,4697,2627 Chestnut St,,Camp Hill,PA,17011,4697,Business Manager,Mrs,Christine,B,Hakes,,(717)901-2402,,,,
115211003,Camp Hill SD,School District,15,Capital Area IU 15,Cumberland,Open,08/01/2000,(717)901-2400,,http://www.camphillsd.k12.pa.us/,2627 Chestnut St,,Camp Hill,PA,17011,4697,2627 Chestnut St,,Camp Hill,PA,17011,4697,Superintendent,Dr,David,,Reeder,,,,07/01/2014,06/30/2017,
